325,Eugene Omoruyi,Oregon,2.01,111,PF,20
326,Jeremiah Robinson-Earl,Villanova,2.06,104,C,20
327,Mike Muscala,Bucknell,2.08,109,C,20
328,Jaylin Williams,Arkansas,2.08,109,C,20
329,Chet Holmgren,Gonzaga,2.13,88,C,20
330,Russell Westbrook,UCLA,1.91,91,PG,21
331,Patrick Beverley,Arkansas,1.85,89,PG,21
332,Scottie Pippen Jr,Vanderbilt,1.85,82,PG,21
333,Kendrick Nunn,Oakland,1.88,86,SG,21
334,Dennis Schroder,Alemania,1.91,78,SG,21
335,Lonnie Walker,Miami,1.96,93,SG,21
336,Lebron James,St. Vincent-St. Mary´s OH,2.03,113,SF,21
337,Troy Brown,Oregon,1.98,98,SF,21
338,Matt Ryan,Chatanooga,2.01,98,SF,21
339,Austin Reaves,Oklahoma,1.96,93,SF,21
340,Max Christie,Michigan State,1.93,86,SF,21
341,Anthony Davis,Kentucky,1.93,86,PF,21
342,Juan Toscano,Mexico,1.93,86,PF,21
343,Wenyen Gabriel,Sudan del Sur,1.93,86,PF,21
344,Cole Swider,Syracuse,1.93,86,PF,21
345,Damian Jones,Vanderbilt,1.93,86,C,21
346,Thomas Bryant,Indiana,1.93,86,C,21
347,Chris Paul,Estados Unidos,1.85,79,PG,22
348,Cameron Payne,Estados Unidos,1.91,84,PG,22
349,Cameron Johnson,Estados Unidos,2.03,95,PG,22
350,Langston Galloway,Estados Unidos,1.89,91,PG,22
351,Jevon Carter,Estados Unidos,1.88,91,PG,22
352,Devin Booker,Estados Unidos,1.96,93,SG,22
353,ETwaun Moore,Estados Unidos,1.95,87,SG,22
354,Ty-Shon Alexander,Estados Unidos,1.92,88,SG,22
355,Mikal Bridges,Estados Unidos,2.01,95,SF,22
356,Torrey Craig,Estados Unidos,1.98,100,SF,22
357,Deandre Ayton,Bahamas,2.09,113,PF,22
358,Jae Crowder,Estados Unidos,2.00,107,PF,22
359,Dario Saric,Croacia,2.07,104,PF,22
360,Abdel Nader,Egipto,1.98,102,PF,22
361,Frank Kaminsky,Estados Unidos,2.11,104,C,22
362,Jalen Smith,Estados Unidos,2.08,98,C,22
363,Stephen Curry,Davidson,1.91,88,PG,23
364,Jordan Poole,Michigan,1.93,88,PG,23
365,Ty Jerome,Virginia,1.96,88,PG,23
366,Klay Thompson,Washington State,1.98,98,SG,23
367,Donte DiVincenzo,Michigan,1.93,92,SG,23
368,Ryan Rollins,Toledo,1.93,82,SG,23
369,Andrew Wiggins,Kansas,2.01,93,SF,23
370,Andre Iguodala,Arizona,1.98,98,SF,23
371,Moses Moody,Arkansas,1.98,93,SF,23
372,Anthony Lamb,Vermont,1.98,102,SF,23
373,Draymond Green,Michigan State,1.98,107,PF,23
374,Jonathan Kuminga,NBA G-League,2.03,95,PF,23
375,P. Baldwin Jr.,Milwaukee,2.06,104,PF,23
376,Kevon Looney,UCLA,2.06,113,C,23
377,James Wiseman,Memphis,2.13,111,C,23
378,JaMychal Green,Alabama,2.03,103,C,23
379,De Aaron Fox,Kentucky,1.91,84,PG,24
380,Davion Mitchell,Baylor,1.88,93,PG,24
381,Matthew Dellavedova,Saint Marys,1.91,91,PG,24
382,Kevin Huerter,Maryland,2.01,86,SG,24
383,Malik Monk,Kentucky,1.91,91,SG,24
384,Keon Ellis,Alabama,1.93,76,SG,24
385,Harrison Barnes,North Carolina,2.03,102,SF,24
386,Terence Davis,Ole Miss,1.93,91,SF,24
387,Chima Moneke,UC Davis,1.98,95,SF,24
388,KZ Okpala,Stanford,2.03,98,PF,24
389,Keegan Murray,Iowa,2.03,98,PF,24
390,Trey Lyles,Kentucky,2.06,106,PF,24
391,Chimezie Metu,USC,2.06,102,PF,24
392,Domantas Sabonis,Gonzaga,2.11,109,C,24
393,Richaun Holmes,Bowling Green,2.08,107,C,24
394,Alex Len,Maryland,2.13,113,C,24
395,Neemias Queta,Utah State,2.11,112,C,24
396,Reggie Jackson,Boston College,1.91,94,PG,25
397,John Wall,Kentucky,1.93,95,PG,25
398,Jason Preston,Ohio,1.93,85,PG,25
399,Paul George,Fresno State,2.03,100,SG,25
400,Norman Powell,UCLA,1.91,98,SG,25
401,Terance Mann,Florida State,1.96,98,SG,25
402,Kawhi Leonard,San Diego State,2.01,102,SF,25
403,Luke Kennard,Duke,1.96,93,SF,25
404,B.J. Boston,Kentucky,1.98,85,SF,25
405,Marcus Morris,Kansas,2.03,99,PF,25
406,Nicolas Batum,Francia,2.04,91,PF,25
407,Robert Covington,Tennessee State,2.01,95,PF,25
408,Amir Coffey,Minnesota,2.01,95,PF,25
409,Moussa Diabate (D),Michigan,2.08,98,PF,25
410,Ivica Zubac,Croacia,2.13,109,C,25
411,Moses Brown (D),UCLA,2.18,111,C,25
412,C.J. McCollum,Lehigh,1.91,86,PG,26
413,Brandon Ingram,Duke,2.01,86,SG,26
414,Devonte Graham,Kansas,1.85,84,SG,26
415,Kira Lewis Jr.,Alabama,1.91,75,SG,26
416,Garrett Temple,LSU,1.96,88,SG,26
417,Zion Williamson,Duke,1.98,129,PF,26
418,Larry Nance Jr,Wyoming,2.01,111,SG,26
419,Naji Marshall,Xavier,2.01,100,SG,26
420,Jonas Valanciunas,Lituania,2.11,120,C,26
421,Jaxson Hayes,Texas,2.11,100,C,26
422,Willy Hernangómez,España,2.11,109,C,26
423,Jose Alvarado,Georgia Tech,1.83,81,PG,26
424,Dereon Seabron,NC State,1.96,82,SG,26
425,Herbert Jones,Alabama,1.98,93,SF,26
426,Trey Murphy III,Virginia,2.06,93,SF,26
427,Dyson Dnaiels,NBA G-League,2.03,88,SF,26
428,Jaxon Hayes,Texas,2.11,100,C,26
429,E.J. Liddell,Ohio State,2.01,110,PF,26
430,Tre Jones,Duke,1.91,94,PG,27
431,Blake Wesley,Notre Dame,1.96,85,PG,27
432,Jordan Hall,Saint Josephs,2.03,98,PG,27
433,Devin Vassell,Florida State,2.01,88,SG,27
434,Josh Richardson,Tennessee,1.96,91,SG,27
435,Malaki Branham,Ohio State,1.96,88,SG,27
436,Romeo Langford,Indiana,1.93,98,SG,27
437,Jeremy Sochan,Baylor,2.06,104,SF,27
438,Doug McDermott,Creighton,2.01,102,SF,27
439,Dominick Barlow,NBA G-League,2.06,97,SF,27
440,Keldon Johnson,Kentuky,1.96,100,PF,27
441,Zach Collins,Gonzaga,2.11,113,PF,27
442,Keita Bates-Diop,Ohio State,2.03,104,PF,27
443,Jakob Poeltl,Utah,2.16,111,C,27
444,Gorgi Dieng,Lousville,2.08,114,C,27
445,Isaiah Roby,Nebraska,2.03,104,C,27
446,Charles Bassey,Western Kentuky,2.08,104,C,27
447,Kevin Porter Jr.,USC,1.93,92,PG,28
448,TyTy Washington,Kentucky,1.88,89,PG,28
449,Trevor Hudgins,Northwest Missouri State,1.83,82,PG,28
450,Jalen Green,NBA G-League,1.98,81,SG,28
451,Josh Christopher,Arizona State,1.96,98,SG,28
452,Garrison Mathews,Lipscomb,1.96,98,SG,28
453,Eric Gordon,Indiana,1.91,98,SF,28
454,Jae Sean Tate,Ohio State,1.93,104,SF,28
455,Daishen Nix,NBA G-League,1.96,102,SF,28
456,Jabari Smith Jr.,Auburn,2.08,100,PF,28
457,JTari Eason,LSU,2.01,98,PF,28
458,K.J. Martin Jr.,IMG Academy,2.01,98,PF,28
459,Darius Days,LSU,2.01,111,PF,28
460,Bruno Fernando,Maryland,2.06,109,C,28
461,Alperen Sengun,Turquía,2.06,107,C,28
462,Usman Garuba,España,2.03,100,C,28
463,Boban Marjanovic,Serbia,2.23,132,C,28
464,Luka Doncic,España,2.01,104,PG,29
465,Frank Ntilikina,Francia,1.93,91,PG,29
466,Facundo Campazzo,España,1.81,75,PG,29
467,Tim Hardaway Jr.,Michigan,1.96,93,SG,29
468,Spencer Dinwiddie,Colorado,1.96,98,SG,29
469,Theo Pinson,North Carolina,1.96,96,SG,29
470,Tyler Dorsey(D),Oregon,1.93,83,SG,29
